4|85|2|
5|4|1|
4|79|2|
2|54|0|
5|18|2|
3|99|2|
0|24|0|
0|39|0|
3|69|0|
0|57|1|
1|95|1|
0|92|2|
0|48|0|
5|50|2|
5|53|1|
5|31|1|
5|41|2|
5|61|2|
3|93|1|
3|32|0|
1|66|2|
1|1|0|
5|19|2|
1|49|2|
4|50|0|
0|37|0|
5|48|1|
5|28|0|
2|85|1|
4|21|2|
5|16|2|
1|3|0|
0|22|1|
3|73|1|
4|24|0|
1|31|0|
0|25|0|
4|15|0|
1|100|0|
4|13|1|
0|68|0|
4|44|2|
2|42|1|
3|10|1|
4|66|1|
4|29|2|
3|58|0|
2|6|2|
0|66|1|
1|1|0|
5|41|0|
5|96|1|
5|2|0|
5|6|0|
0|71|1|
4|91|0|
4|47|2|
3|54|0|
2|98|2|
1|17|2|
0|71|0|
4|66|0|
1|79|1|
4|77|1|
0|93|0|
4|40|2|
4|37|1|
5|17|2|
1|53|0|
1|33|0|
4|96|2|
2|98|0|
0|64|1|
0|74|0|
3|73|1|
0|33|1|
4|13|2|
3|9|1|
0|11|1|
4|56|0|
3|21|2|
1|63|1|
2|50|0|
3|68|2|
0|20|2|
3|39|2|
2|56|0|
3|39|1|
1|79|2|
4|56|2|
4|69|1|
2|56|2|
5|32|1|
0|69|0|
3|63|1|
1|1|1|
3|77|0|
5|38|1|
3|31|0|
2|43|1|
3|94|1|
0|25|0|
3|22|0|
1|29|1|
2|81|0|
1|73|1|
5|83|1|
5|65|0|
4|96|1|
0|14|0|
3|13|2|
5|31|2|
3|16|1|
0|43|1|
1|6|0|
4|98|1|
4|26|1|
1|87|2|
3|35|0|
4|36|0|
2|76|0|
4|24|1|
3|37|1|
5|63|0|
4|66|0|
2|94|0|
2|98|1|
1|41|2|
0|45|0|
0|26|2|
0|34|0|
4|72|2|
1|44|1|
0|38|2|
2|55|0|
4|52|1|
0|47|2|
4|70|0|
3|44|1|
4|86|2|
0|76|0|
0|81|1|
4|74|1|
2|66|2|
0|21|2|
0|5|2|
3|17|2|
3|41|0|
1|28|2|
2|86|2|
1|96|0|
5|34|0|
5|46|1|
1|26|0|
0|80|1|
1|85|0|
1|4|2|
2|81|1|
1|32|1|
1|92|2|
4|74|0|
4|4|1|
0|94|1|
3|76|1|
3|71|0|
5|62|2|
4|86|2|
3|76|2|
1|39|2|
0|87|1|
1|26|2|
4|68|1|
4|8|2|
0|99|1|
3|85|2|
0|14|2|
0|83|0|
1|34|0|
0|12|0|
3|6|2|
5|64|2|
4|66|0|
3|13|2|
0|91|2|
0|56|0|
1|69|1|
1|90|2|
3|30|1|
5|77|0|
1|53|0|
4|59|2|
3|53|0|
4|4|1|
0|55|2|
1|90|2|
3|94|0|
5|75|0|
5|93|0|
5|83|2|
4|13|2|
3|51|1|
1|52|0|
3|24|1|
0|29|0|
0|39|1|
5|1|2|
1|67|1|
0|65|1|
2|85|1|
2|72|0|
4|23|0|
1|87|1|
3|81|2|
2|32|2|
3|38|0|
3|17|2|
3|27|2|
0|100|2|
1|20|2|
5|69|2|
0|43|0|
0|37|0|
2|56|1|
0|89|2|
5|43|1|
5|72|0|
0|33|1|
1|16|2|
4|23|1|
5|78|1|
4|81|1|
1|8|0|
0|23|0|
1|31|2|
4|20|1|
4|11|2|
0|14|1|
1|54|1|
5|52|0|
2|87|1|
5|59|1|
3|10|2|
0|39|1|
4|54|1|
4|72|0|
1|98|2|
2|90|2|
1|42|1|
1|21|1|
4|4|1|
4|86|1|
1|83|2|
3|48|2|
4|61|1|
0|43|2|
4|67|0|
3|54|2|
4|28|2|
0|37|0|
2|97|1|
2|95|2|
1|23|0|
0|65|1|
2|24|0|
4|6|1|
3|31|2|
3|60|0|
5|39|2|
1|17|2|
5|71|1|
5|68|1|
3|1|2|
2|43|2|
5|65|1|
3|18|2|
1|20|2|
3|9|2|
2|56|1|
3|77|1|
1|88|2|
0|46|2|
2|73|0|
0|47|2|
5|11|2|
1|66|0|
3|34|1|
1|48|0|
2|45|1|
1|17|1|
5|40|0|
2|90|0|
0|14|1|
4|65|0|
1|31|2|
3|66|0|
4|42|0|
1|3|2|
5|36|0|
5|72|1|
2|38|1|
