5|75|49|
4|84|1|
6|61|100|
6|87|41|
5|9|54|
7|47|14|
5|28|9|
5|29|34|
7|42|99|
4|14|42|
6|56|65|
5|58|69|
7|22|87|
7|26|39|
7|21|7|
6|12|35|
6|64|97|
5|64|9|
4|79|56|
4|41|38|
6|18|90|
7|11|80|
6|27|90|
6|1|80|
7|28|37|
7|25|5|
7|100|62|
5|55|78|
4|80|23|
4|72|97|
6|20|8|
5|100|31|
5|91|48|
4|52|76|
7|74|83|
6|39|83|
6|60|84|
6|16|64|
5|9|85|
6|84|6|
4|43|57|
7|61|54|
5|46|44|
4|35|8|
5|31|10|
5|76|76|
6|64|42|
7|28|94|
5|53|60|
4|58|22|
6|82|55|
4|76|20|
6|26|78|
6|27|94|
4|48|61|
7|96|96|
6|3|77|
4|26|57|
4|52|88|
7|100|14|
6|45|15|
5|48|11|
4|38|18|
5|1|40|
6|30|33|
4|90|36|
5|30|44|
5|70|52|
6|5|45|
4|70|71|
5|30|76|
7|6|25|
7|100|19|
5|39|36|
6|71|22|
5|14|100|
7|71|100|
4|16|47|
4|76|81|
6|32|52|
5|41|86|
4|2|67|
6|53|39|
6|32|26|
6|82|89|
7|5|73|
7|54|48|
7|58|38|
4|77|51|
4|73|48|
5|100|47|
7|22|32|
5|88|52|
6|56|66|
6|99|70|
6|52|78|
4|78|14|
6|99|44|
4|93|37|
7|55|17|
4|53|81|
6|21|40|
5|2|60|
5|23|49|
5|93|37|
6|76|76|
6|27|82|
7|28|7|
6|17|47|
5|90|28|
6|33|34|
4|83|2|
7|95|24|
6|24|5|
6|1|10|
7|55|91|
4|17|97|
4|16|89|
7|70|30|
7|70|3|
7|74|24|
5|2|13|
7|24|41|
7|16|24|
6|31|99|
5|60|2|
7|38|35|
4|63|18|
5|28|69|
5|46|24|
6|23|79|
4|4|88|
6|83|23|
7|60|79|
6|80|40|
6|60|18|
7|2|6|
6|10|9|
4|69|12|
6|58|18|
5|84|60|
5|96|33|
7|18|37|
7|90|31|
5|33|52|
6|78|74|
5|96|71|
4|75|35|
7|12|16|
4|64|97|
6|45|94|
6|17|96|
4|56|31|
5|66|58|
7|88|21|
7|84|21|
5|5|51|
5|62|29|
7|65|95|
4|100|70|
4|74|59|
7|41|84|
7|11|72|
7|9|47|
6|74|26|
4|75|52|
6|61|78|
5|86|23|
7|17|99|
7|79|27|
6|97|70|
4|75|88|
4|85|35|
4|62|69|
6|11|22|
6|52|46|
4|73|29|
4|69|84|
4|2|59|
5|90|63|
4|3|99|
7|29|83|
6|92|40|
4|25|26|
6|76|8|
5|81|71|
4|66|61|
7|69|60|
5|69|58|
4|55|21|
4|77|100|
4|89|36|
5|27|62|
7|11|49|
6|79|20|
7|30|49|
7|66|84|
4|10|46|
5|78|20|
6|38|38|
6|87|58|
5|8|3|
7|50|20|
4|94|13|
5|100|18|
7|57|70|
7|98|65|
6|51|42|
4|12|38|
5|81|65|
6|28|9|
7|32|43|
6|66|96|
6|77|69|
7|13|81|
7|92|24|
7|13|94|
5|84|20|
7|68|61|
6|51|6|
6|2|13|
5|63|82|
5|93|42|
4|10|30|
7|63|96|
6|53|9|
7|63|39|
5|39|23|
6|73|95|
5|39|100|
5|67|63|
7|96|59|
7|58|80|
4|96|53|
4|54|60|
5|55|53|
4|31|7|
4|14|95|
5|24|86|
6|60|9|
4|100|77|
7|52|22|
4|63|44|
5|55|11|
7|33|92|
6|87|57|
7|50|15|
7|94|69|
5|53|50|
7|34|56|
5|23|74|
7|65|25|
4|66|35|
5|72|88|
6|32|6|
6|20|60|
4|68|40|
6|55|5|
4|30|78|
5|41|32|
5|52|84|
5|90|22|
6|94|15|
7|82|24|
5|28|70|
5|80|25|
5|64|40|
7|53|45|
5|34|81|
5|26|56|
4|9|35|
5|41|67|
4|50|71|
5|26|89|
7|57|49|
5|83|13|
6|62|39|
7|8|98|
6|15|3|
7|85|22|
7|46|81|
5|68|48|
6|30|5|
4|28|16|
4|68|77|
6|42|39|
7|59|1|
5|94|66|
7|20|52|
7|37|86|
7|57|1|
7|67|52|
7|39|21|
5|3|78|
4|50|21|
7|83|97|
4|67|67|
5|47|83|
4|58|4|
4|96|100|
